,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating
95,25,No,No,2,3.5
96,25,No,No,2,3.5
97,40,No,No,3,3.6
98,40,No,No,3,3.5
99,40,No,No,3,3.8
100,10,No,No,1,3.7
101,10,No,No,1,3.4
102,20,No,No,2,3.5
103,40,No,No,3,4.5
104,10,No,No,1,4.5
105,10,No,No,1,4.6
106,10,No,No,1,3.9
107,10,No,No,1,3.7
108,10,No,No,1,4.3
109,10,No,No,1,4.2
110,25,No,No,2,4.0
111,25,No,No,2,4.1
112,40,No,No,3,4.3
113,10,No,No,1,4.2
114,10,No,No,1,4.1
115,40,No,No,3,4.1
116,25,No,No,2,4.2
117,10,No,No,1,4.1
118,40,No,No,3,4.1
119,10,No,No,1,4.4
120,10,No,No,1,4.4
121,25,No,No,2,4.2
122,10,No,No,1,4.1
123,40,No,No,3,4.6
124,40,No,No,3,4.9
125,25,No,No,2,4.5
126,10,No,No,1,3.9
127,25,No,No,2,3.9
128,40,No,No,3,3.8
129,25,No,No,2,3.5
130,40,No,No,3,4.3
131,25,No,No,2,4.1
132,25,No,No,2,4.4
133,10,No,No,1,4.0
134,25,No,No,2,4.0
135,40,No,No,3,4.2
136,40,No,No,3,4.0
137,25,No,No,2,4.0
138,25,No,No,2,3.9
139,10,No,No,1,4.1
140,25,No,No,2,4.0
141,35,No,No,3,4.3
142,10,No,No,1,4.2
143,20,No,No,2,3.2
144,20,No,No,2,4.6
145,25,No,No,2,4.5
146,25,No,No,2,4.6
147,25,No,No,2,4.5
148,70,No,No,4,3.9
149,10,No,No,1,4.3
150,70,No,No,4,4.1
151,10,No,No,1,4.2
152,25,No,No,2,4.3
153,10,No,No,1,4.4
154,25,No,No,2,4.1
155,25,No,No,2,4.4
156,10,No,No,1,4.3
157,10,No,No,1,4.4
158,25,No,No,2,4.4
159,40,No,No,3,4.0
160,25,No,No,2,4.1
161,10,No,No,1,4.3
162,40,No,No,3,4.0
163,25,No,No,2,4.0
164,40,No,No,3,4.4
165,40,No,No,3,3.7
166,40,No,No,3,4.1
167,10,No,No,1,4.1
168,40,No,No,3,4.1
169,25,No,No,2,4.4
170,25,No,No,2,4.2
171,10,No,No,1,4.2
172,10,No,No,1,4.2
173,25,No,No,2,3.8
174,25,No,No,2,4.1
175,10,No,No,1,4.9
176,10,No,No,1,4.5
177,25,No,No,2,3.6
178,40,No,No,3,3.8
179,25,No,No,2,4.3
180,40,No,No,3,4.3
181,25,No,No,2,4.1
182,40,No,No,3,4.0
183,25,No,No,2,4.2
184,25,No,No,2,4.7
185,25,No,No,2,3.7
186,10,No,No,1,4.3
187,25,No,No,2,3.1
188,10,No,No,1,3.3
189,25,No,No,2,4.6
190,25,No,No,2,4.5
191,25,No,No,2,3.8
192,25,No,No,2,3.9
193,40,No,No,3,3.9
194,10,No,No,1,3.7
195,40,No,No,3,3.6
196,40,No,No,3,3.7
197,40,No,No,3,4.2
198,25,No,No,2,4.3
199,25,No,No,2,4.0
200,25,No,No,2,4.0
201,0,No,No,1,4.0
202,25,No,No,2,4.1
203,40,No,No,3,4.1
204,10,No,No,1,4.2
205,25,No,No,2,4.3
206,40,No,No,3,4.0
207,40,No,No,3,4.4
208,25,No,No,2,3.0
209,25,No,No,2,3.7
210,10,No,No,1,4.4
211,25,No,No,2,4.4
212,10,No,No,1,3.9
213,10,No,No,1,4.9
214,25,No,No,2,3.8
215,40,No,No,3,3.8
216,10,No,No,1,3.8
217,25,No,No,2,3.7
218,10,No,No,1,4.1
219,10,No,No,1,4.1
220,10,No,No,1,4.1
221,25,No,No,2,4.6
222,10,No,No,1,4.3
223,25,No,No,2,4.2
224,10,No,No,1,3.7
225,10,No,No,1,4.1
226,10,No,No,1,4.3
227,10,No,No,1,4.2
228,10,No,No,1,4.1
229,25,No,No,2,4.6
230,40,No,No,3,4.5
231,25,No,No,2,3.9
232,10,No,No,1,4.0
233,25,No,No,2,4.1
234,25,No,No,2,3.4
235,25,No,No,2,4.9
236,10,No,No,1,3.9
237,70,No,No,4,3.7
240,0,No,No,1,4.3
241,25,No,No,2,4.0
242,25,No,No,2,4.1
243,10,No,No,1,4.3
244,25,No,No,2,4.0
245,25,No,No,2,4.1
246,25,No,No,2,4.1
247,40,No,No,3,4.2
248,25,No,No,2,4.2
249,25,No,No,2,4.5
250,25,No,No,2,4.9
251,40,No,No,3,4.5
252,25,No,No,2,4.1
253,25,No,No,2,4.0
254,25,No,No,2,3.2
255,40,No,No,3,4.5
256,25,No,No,2,4.6
257,10,No,No,1,4.4
258,40,No,No,3,4.2
259,40,No,No,3,4.3
260,25,No,No,2,4.8
261,10,No,No,1,4.2
262,70,No,No,4,4.1
263,10,No,No,1,4.1
264,10,No,No,1,4.0
265,25,No,No,2,4.3
266,25,No,No,2,3.8
267,25,No,No,2,4.0
268,40,No,No,3,4.2
269,7,No,No,1,3.6
270,10,No,No,1,3.4
271,25,No,No,2,3.3
272,10,No,No,1,3.4
273,25,No,No,2,3.3
274,25,No,No,2,3.4
275,25,No,No,2,3.5
276,10,No,No,1,3.6
277,0,No,No,1,3.5
278,25,No,No,2,3.6
279,40,No,No,3,3.7
280,25,No,No,2,3.6
281,40,No,No,3,3.8
282,10,No,No,1,3.5
283,10,No,No,1,3.5
284,25,No,No,2,3.6
285,40,No,No,3,3.6
286,25,No,No,2,3.6
287,10,No,No,1,3.5
288,25,No,No,2,3.7
289,70,No,No,4,3.6
290,20,No,No,2,4.1
291,10,No,No,1,3.7
292,30,No,No,3,3.5
293,20,No,No,2,3.7
294,25,No,No,2,4.4
295,10,No,No,1,4.1
296,25,No,No,2,3.8
297,40,No,No,3,3.9
298,10,No,No,1,3.9
299,10,No,No,1,4.4
300,25,No,No,2,4.1
301,25,No,No,2,3.8
302,40,No,No,3,4.3
303,10,No,No,1,4.1
304,25,No,No,2,4.9
305,10,No,No,1,4.6
306,25,No,No,2,3.8
307,25,No,No,2,4.2
308,10,No,No,1,4.3
309,25,No,No,2,4.2
310,40,No,No,3,3.8
311,10,No,No,1,3.9
312,25,No,No,2,2.2
313,10,No,No,1,4.0
314,20,No,No,2,3.8
315,7,No,No,1,3.8
316,20,No,No,2,4.1
317,7,No,No,1,3.7
318,7,No,No,1,3.8
319,10,No,No,1,3.6
320,25,No,No,2,4.5
321,20,No,No,2,3.6
322,20,No,No,2,3.5
323,25,No,No,2,3.9
324,10,No,No,1,4.9
325,25,No,No,2,4.6
326,25,No,No,2,4.5
327,25,No,No,2,4.5
328,40,No,No,3,3.8
329,40,No,No,3,4.1
330,70,No,No,4,4.0
331,10,No,No,1,4.3
332,70,No,No,4,4.2
333,10,No,No,1,4.2
334,25,No,No,2,3.7
335,25,No,No,2,3.7
336,10,No,No,1,3.7
337,25,No,No,2,3.8
338,10,No,No,1,4.1
339,25,No,No,2,4.0
340,25,No,No,2,4.2
341,10,No,No,1,4.0
342,40,No,No,3,4.1
343,20,No,No,2,2.9
344,10,No,No,1,2.4
345,30,No,No,3,3.8
346,0,No,No,1,3.4
347,25,No,No,2,3.6
348,30,No,No,3,2.4
349,40,No,No,3,3.6
350,40,No,No,3,4.4
351,45,No,No,3,4.5
352,35,No,No,3,4.7
353,50,No,No,4,4.3
354,40,No,No,3,4.6
355,100,No,No,4,4.6
356,45,No,No,3,4.3
357,50,No,No,4,4.4
358,35,No,No,3,4.6
359,10,No,No,1,4.4
360,60,No,No,4,4.4
361,40,No,No,3,4.8
362,25,No,No,2,4.9
363,35,No,No,3,4.9
364,25,No,No,2,4.7
365,25,No,No,2,3.6
366,40,No,No,3,4.2
367,25,No,No,2,4.4
368,40,No,No,3,4.4
369,40,No,No,3,4.4
370,30,No,No,3,4.4
371,120,No,No,4,2.6
372,20,No,No,2,3.4
373,25,No,No,2,4.2
374,40,No,No,3,4.9
375,10,No,No,1,4.6
376,10,No,No,1,4.5
377,40,No,No,3,3.7
378,25,No,No,2,3.9
379,25,No,No,2,3.7
380,25,No,No,2,4.2
381,40,No,No,3,4.1
382,40,No,No,3,4.4
383,25,No,No,2,4.3
384,40,No,No,3,4.0
385,25,No,No,2,4.1
386,40,No,No,3,3.9
387,40,No,No,3,3.5
388,25,No,No,2,4.2
389,40,No,No,3,4.4
390,40,No,No,3,4.3
391,10,No,No,1,4.7
392,40,No,No,3,4.4
393,20,No,No,2,3.7
394,10,No,No,1,3.7
395,45,No,No,3,3.5
396,10,No,No,1,3.6
397,0,No,No,1,3.6
398,40,No,No,3,3.7
399,30,No,No,3,3.6
400,10,No,No,1,3.5
401,10,No,No,1,3.8
402,10,No,No,1,3.8
403,25,No,No,2,3.7
404,10,No,No,1,3.5
405,25,No,No,2,3.7
406,40,No,No,3,3.6
407,0,No,No,1,3.6
408,25,No,No,2,3.6
409,25,No,No,2,3.8
410,25,No,No,2,3.7
411,40,No,No,3,3.6
413,10,No,No,1,4.1
414,25,No,No,2,3.3
415,70,No,No,4,4.0
416,25,No,No,2,4.5
417,35,No,No,3,4.7
418,10,No,No,1,4.7
419,30,No,No,3,4.5
420,10,No,No,1,4.5
421,40,No,No,3,4.2
422,40,No,No,3,4.2
423,10,No,No,1,4.6
424,10,No,No,1,4.2
425,25,No,No,2,4.4
426,40,No,No,3,4.3
427,40,No,No,3,4.3
428,70,No,No,4,4.9
429,10,No,No,1,4.9
430,40,No,No,3,4.6
431,25,No,No,2,3.9
432,70,No,No,4,4.4
433,10,No,No,1,4.0
434,70,No,No,4,4.2
435,25,No,No,2,4.2
436,40,No,No,3,3.3
437,40,No,No,3,4.7
438,10,No,No,1,4.6
439,40,No,No,3,4.5
440,25,No,No,2,4.5
441,25,No,No,2,3.7
442,40,No,No,3,3.8
443,25,No,No,2,4.1
444,25,No,No,2,4.4
445,10,No,No,1,4.2
446,10,No,No,1,4.1
447,40,No,No,3,4.1
448,25,No,No,2,4.3
449,10,No,No,1,4.3
450,70,No,No,4,4.0
451,25,No,No,2,4.3
452,70,No,No,4,4.4
453,70,No,No,4,4.1
454,40,No,No,3,3.8
455,10,No,No,1,3.9
456,300,No,No,4,3.4
457,270,No,No,4,4.0
458,500,No,No,4,3.8
459,80,No,No,4,3.1
460,430,No,No,4,3.8
461,315,No,No,4,3.9
462,20,No,No,2,4.2
463,100,No,No,4,4.1
464,50,No,No,3,3.2
465,80,No,No,4,3.2
466,40,No,No,3,3.7
467,30,No,No,3,3.0
468,220,No,No,4,3.8
469,300,No,No,4,3.9
470,60,No,No,4,3.1
471,60,No,No,4,3.2
472,95,No,No,4,3.2
473,50,No,No,3,3.8
474,40,No,No,3,3.9
475,75,No,No,4,3.2
476,40,No,No,3,3.7
477,10,No,No,1,3.6
478,10,No,No,1,3.8
479,10,No,No,1,3.6
480,40,No,No,3,3.7
481,25,No,No,2,3.6
482,25,No,No,2,3.8
483,25,No,No,2,3.8
484,10,No,No,1,3.7
485,10,No,No,1,3.9
486,10,No,No,1,3.7
487,10,No,No,1,3.8
488,40,No,No,3,3.7
489,10,No,No,1,3.7
490,25,No,No,2,3.8
491,40,No,No,3,3.9
492,10,No,No,1,4.0
493,40,No,No,3,4.0
494,25,No,No,2,4.0
495,70,No,No,4,3.5
496,25,No,No,2,4.6
497,25,No,No,2,4.6
498,25,No,No,2,4.1
499,25,No,No,2,4.1
500,25,No,No,2,4.1
501,70,No,No,4,4.7
502,40,No,No,3,3.9
503,70,No,No,4,3.9
504,25,No,No,2,4.4
505,25,No,No,2,4.4
506,40,No,No,3,4.2
507,10,No,No,1,4.9
508,40,No,No,3,4.5
509,40,No,No,3,4.9
510,40,No,No,3,4.5
511,40,No,No,3,4.7
512,40,No,No,3,4.8
513,10,No,No,1,4.5
514,40,No,No,3,4.0
515,40,No,No,3,4.4
516,30,No,No,3,4.4
517,20,No,No,2,4.1
518,25,No,No,2,3.4
519,25,No,No,2,3.1
520,40,No,No,3,3.9
521,40,No,No,3,3.7
522,35,No,No,3,3.8
523,25,No,No,2,3.7
524,10,No,No,1,3.8
525,40,No,No,3,3.7
526,25,No,No,2,3.7
527,10,No,No,1,3.7
528,25,No,No,2,3.9
529,40,No,No,3,3.8
530,10,No,No,1,3.5
531,25,No,No,2,3.9
532,25,No,No,2,3.7
533,70,No,No,4,3.5
534,25,No,No,2,3.8
535,25,No,No,2,3.8
536,40,No,No,3,3.8
537,25,No,No,2,4.1
538,10,No,No,1,4.3
539,20,No,No,2,3.6
540,70,No,No,4,4.3
541,10,No,No,1,3.2
542,25,No,No,2,3.7
543,10,No,No,1,3.9
544,10,No,No,1,3.8
545,25,No,No,2,3.7
546,10,No,No,1,3.6
547,40,No,No,3,3.6
548,25,No,No,2,3.6
549,40,No,No,3,3.8
550,10,No,No,1,3.7
551,25,No,No,2,3.6
552,25,No,No,2,3.6
553,25,No,No,2,3.6
554,25,No,No,2,3.6
555,40,No,No,3,3.6
556,10,No,No,1,3.7
557,25,No,No,2,3.6
558,10,No,No,1,3.7
559,10,No,No,1,3.5
560,25,No,No,2,3.9
561,25,No,No,2,3.9
562,25,No,No,2,3.2
563,25,No,No,2,3.3
564,190,No,No,4,4.6
565,260,No,Yes,4,4.6
566,150,Yes,Yes,3,4.4
567,70,No,No,2,4.3
568,100,No,No,3,4.2
569,180,No,No,4,4.6
570,230,No,No,4,4.1
571,350,Yes,Yes,4,4.4
572,120,Yes,Yes,3,4.0
573,60,No,Yes,2,3.6
574,100,No,Yes,3,4.5
575,250,No,Yes,4,4.0
576,50,No,Yes,2,4.0
577,70,No,Yes,2,4.0
578,80,Yes,Yes,3,4.3
579,100,No,Yes,3,4.0
580,330,Yes,No,4,4.9
581,500,Yes,No,4,4.7
582,250,No,No,4,4.2
583,200,No,No,4,4.6
584,280,Yes,No,3,3.9
585,90,Yes,Yes,2,4.1
586,90,Yes,Yes,2,4.3
587,150,Yes,No,3,4.5
588,200,Yes,No,3,4.5
589,160,Yes,No,3,4.9
590,500,Yes,No,4,4.9
591,160,Yes,No,3,4.8
592,300,No,No,4,4.5
593,140,No,Yes,3,4.5
594,100,No,No,3,4.3
595,160,No,No,3,4.3
596,150,Yes,No,3,4.4
597,500,Yes,No,4,4.9
598,150,Yes,Yes,3,4.4
599,285,No,No,3,3.2
600,270,No,No,3,4.7
601,170,No,No,3,4.3
602,250,No,Yes,3,3.7
603,130,Yes,Yes,3,4.3
604,85,No,Yes,3,3.9
605,70,No,Yes,3,3.8
606,120,No,Yes,4,4.1
607,65,No,No,3,4.3
608,110,No,Yes,4,3.9
609,40,No,No,2,4.1
610,100,No,Yes,4,4.1
611,80,No,Yes,3,4.2
612,90,No,Yes,3,4.1
613,80,No,No,3,2.4
614,50,No,No,2,4.2
615,60,No,No,3,4.2
616,160,No,Yes,4,4.2
617,130,No,Yes,4,3.8
618,250,No,Yes,4,3.9
619,60,No,No,3,4.8
620,250,No,Yes,4,4.1
621,150,No,No,4,4.5
622,50,No,No,2,3.8
623,110,No,No,4,4.2
624,850,No,No,3,3.9
625,700,No,No,2,3.5
626,500,No,No,2,3.6
627,400,No,No,2,4.0
628,1000,No,No,3,4.2
629,2000,No,No,4,4.0
630,2500,No,No,4,4.3
631,2500,No,No,4,4.0
632,800,No,No,3,3.6
633,3600,No,No,4,3.8
634,0,No,No,1,3.9
635,550,No,No,2,4.1
636,1100,No,No,3,3.4
637,0,No,No,1,4.9
638,1500,No,No,4,3.8
639,0,No,No,1,3.9
640,900,No,No,3,3.7
641,700,No,No,2,4.4
642,1000,No,No,3,4.2
643,700,No,No,2,4.1
644,900,No,No,3,4.2
645,1800,No,No,4,3.7
646,300,No,Yes,1,4.5
647,800,No,No,3,4.1
648,900,No,Yes,3,4.3
649,500,No,Yes,2,4.4
650,1000,No,Yes,3,4.4
651,1000,No,Yes,3,3.8
652,1400,No,No,3,3.6
653,350,No,No,2,4.6
654,450,No,No,2,4.4
655,900,No,No,3,4.3
656,600,No,Yes,2,3.8
657,700,No,Yes,2,4.3
658,700,No,Yes,2,4.0
659,600,No,Yes,2,4.4
660,950,No,Yes,3,4.5
661,1200,No,No,3,4.1
662,1200,No,No,3,4.1
663,550,No,Yes,2,3.9
664,1200,No,No,3,4.0
665,500,No,No,3,3.4
666,350,No,No,2,3.3
667,500,No,No,3,3.2
668,600,No,No,3,3.4
669,600,No,No,3,3.4
670,600,No,No,3,3.4
671,500,No,No,3,3.4
672,400,No,No,2,3.3
673,800,No,No,3,3.2
674,700,No,No,3,3.4
675,400,No,No,2,3.4
676,500,No,No,3,3.2
677,0,No,No,1,3.3
678,500,No,No,3,3.4
679,1000,No,No,4,3.6
680,200,No,No,1,3.7
681,500,No,No,3,3.5
682,500,No,No,3,3.6
683,400,No,No,2,3.5
684,800,No,No,3,3.3
685,700,No,No,2,3.4
686,300,No,No,1,3.9
687,100,No,No,1,4.0
688,800,No,No,3,3.4
689,150,No,No,1,3.6
690,300,No,No,1,3.5
691,500,No,No,2,3.4
692,1200,No,No,3,3.4
693,400,No,No,2,3.5
694,700,No,No,2,3.6
695,200,No,No,1,3.9
696,600,No,No,2,3.4
697,500,No,No,2,3.7
698,500,No,No,2,3.5
699,500,No,No,2,3.8
700,400,No,No,2,3.8
701,100,No,No,1,4.1
702,500,No,No,2,4.1
703,500,No,No,2,3.8
704,1000,No,No,3,3.5
705,150,No,No,1,4.1
706,800,No,No,3,3.6
707,850,No,No,3,3.3
708,600,No,No,2,3.3
709,700,No,No,2,3.1
710,350,No,No,2,3.4
711,450,No,No,2,3.4
712,1800,No,No,4,3.4
713,500,No,No,2,3.3
714,500,No,No,2,3.4
715,1000,No,No,3,3.6
716,300,No,No,1,3.5
717,400,No,No,2,3.3
718,700,No,No,2,3.3
719,450,No,No,2,3.4
720,450,No,No,2,3.7
721,400,No,No,2,3.2
722,650,No,No,2,3.4
723,600,No,No,2,3.3
724,450,No,No,2,3.3
725,500,No,No,2,3.3
726,1300,Yes,Yes,3,4.1
727,2400,Yes,Yes,4,4.7
728,2000,No,No,4,4.8
729,1300,Yes,No,3,3.9
730,1500,No,Yes,3,4.2
731,800,No,No,2,4.0
732,600,No,Yes,2,4.3
733,600,No,No,2,4.6
734,950,No,No,2,4.7
735,800,No,Yes,2,4.7
736,1400,Yes,No,3,4.1
737,400,No,Yes,1,4.3
738,1500,No,No,3,4.5
739,1400,No,No,3,4.6
740,1200,Yes,No,3,4.4
741,600,No,No,2,4.6
742,1200,No,No,3,4.2
743,1800,Yes,Yes,3,4.5
744,1400,No,No,3,3.9
745,1500,No,No,3,4.4
746,200,No,No,1,3.3
747,600,No,No,2,3.4
748,250,No,No,1,4.9
749,700,No,No,2,3.9
750,500,No,No,2,4.2
751,1000,No,No,3,4.0
752,1000,No,No,3,4.0
753,650,No,No,2,4.1
754,600,No,No,2,3.8
755,500,No,No,2,3.8
756,550,No,No,2,3.5
757,500,No,No,2,3.6
758,350,No,No,2,3.6
759,500,No,No,2,4.1
760,400,No,No,2,4.4
761,400,No,No,2,4.1
762,1800,No,No,4,4.3
763,500,No,No,2,3.9
764,900,No,No,3,3.8
765,500,No,No,2,4.3
766,500,No,No,2,3.9
767,550,No,No,2,4.1
768,1200,No,No,3,4.6
769,600,No,No,2,4.5
770,500,No,No,2,3.9
771,500,No,No,2,4.0
772,850,No,No,2,3.7
773,1400,No,No,3,4.1
774,450,No,No,1,3.6
775,600,No,No,2,3.8
776,450,No,No,1,3.7
777,500,No,No,2,3.7
778,450,No,No,1,3.8
779,900,No,No,2,4.0
780,400,No,No,1,4.0
781,800,No,No,2,4.3
782,300,No,No,1,4.1
783,500,No,No,2,3.8
784,900,No,No,2,4.2
785,1500,No,No,3,4.3
786,400,No,No,1,3.5
787,850,No,Yes,2,3.7
788,1600,No,No,3,4.2
789,1400,No,Yes,3,4.3
790,1600,No,No,3,4.1
791,1400,No,No,3,4.0
792,1200,No,No,3,4.0
793,1300,No,No,3,4.5
794,1800,No,No,3,4.3
795,700,No,No,2,3.8
796,1000,No,Yes,3,3.4
797,650,No,No,2,4.1
798,650,No,No,2,4.1
799,450,No,Yes,1,4.0
800,600,No,Yes,2,4.2
801,800,No,No,2,3.3
802,2200,No,No,4,4.4
803,500,No,Yes,2,4.5
804,600,No,No,2,4.0
805,800,Yes,Yes,2,4.2
806,800,Yes,Yes,2,3.8
807,750,Yes,Yes,2,4.4
808,850,Yes,Yes,2,4.2
809,1700,Yes,Yes,3,4.8
810,450,No,Yes,1,4.2
811,350,No,No,1,4.6
812,1100,No,No,3,4.1
813,1500,Yes,Yes,3,4.0
814,1200,Yes,Yes,3,4.6
815,1000,Yes,No,3,4.2
816,900,No,Yes,2,3.8
817,1200,Yes,Yes,3,4.3
818,850,Yes,Yes,2,4.4
819,850,Yes,Yes,2,4.3
820,1500,Yes,Yes,3,4.5
821,2000,No,No,4,4.4
822,1600,No,No,3,4.9
823,1400,No,No,3,4.6
824,900,Yes,No,2,4.0
825,800,No,Yes,3,4.6
826,600,No,No,2,3.9
827,400,No,Yes,2,3.8
828,600,No,Yes,2,3.5
829,500,No,No,2,4.3
830,1200,No,Yes,3,4.1
831,450,No,No,2,3.8
832,350,No,No,2,4.5
833,1200,No,No,3,3.8
834,700,No,Yes,2,3.9
835,1200,No,No,3,4.2
836,600,No,Yes,2,4.0
837,1000,No,No,3,4.0
838,1500,No,No,4,4.0
839,400,No,No,2,4.3
840,1400,No,No,3,4.2
841,350,No,Yes,2,4.9
842,700,No,No,2,4.2
843,300,No,No,1,4.3
844,1400,No,No,3,4.4
845,800,No,No,3,3.6
846,500,No,No,3,3.8
847,650,No,No,3,3.9
848,1000,No,No,4,3.9
849,750,No,No,3,4.2
850,1500,No,No,4,4.9
851,0,No,No,1,4.3
852,1250,No,No,4,4.0
853,550,No,No,3,3.8
854,500,No,No,3,4.0
855,350,No,No,2,4.1
856,700,No,No,3,3.9
857,600,No,No,3,3.9
858,600,No,No,3,3.9
859,400,No,No,2,3.9
860,1600,No,No,4,4.4
861,1200,No,No,4,4.0
862,500,No,No,3,4.1
863,500,No,No,3,4.2
864,600,No,No,3,4.2
865,250,No,No,1,2.9
866,500,No,No,2,2.8
867,150,No,No,1,2.8
868,150,No,No,1,2.9
869,100,No,No,1,2.8
870,300,No,No,1,3.0
875,300,No,No,1,2.9
876,350,No,No,1,3.0
877,300,No,No,1,2.9
881,600,No,Yes,2,2.8
882,500,No,No,2,3.4
883,700,No,No,2,3.4
884,1100,No,Yes,3,3.8
885,600,No,Yes,2,3.6
886,900,No,Yes,2,3.6
890,500,No,Yes,2,2.1
891,1600,No,No,3,4.0
892,1300,No,Yes,3,4.1
893,400,No,No,1,3.2
894,200,No,Yes,1,2.7
895,800,No,Yes,2,3.4
896,1000,Yes,No,3,2.4
898,250,No,No,1,2.8
909,1000,No,No,3,3.0
910,500,No,No,2,3.2
911,500,No,No,2,2.8
913,450,No,No,1,2.8
914,500,No,No,2,3.1
915,150,No,No,1,3.0
916,450,No,Yes,1,3.1
917,700,Yes,No,2,2.9
921,800,Yes,Yes,2,3.3
922,300,No,No,1,3.0
923,450,No,No,1,2.6
924,700,No,Yes,2,2.9
925,200,No,No,1,2.9
926,1500,Yes,Yes,3,3.1
930,600,No,Yes,2,3.2
931,400,No,No,1,3.4
932,450,No,No,1,3.3
933,600,No,No,2,2.7
934,500,No,Yes,2,3.4
935,200,No,No,1,3.3
936,600,No,Yes,2,2.6
937,500,No,No,2,3.3
938,500,No,No,2,3.4
939,400,No,No,1,2.7
940,950,No,No,2,2.6
941,600,No,No,2,2.7
942,300,No,No,1,3.4
943,1000,No,No,3,4.5
944,400,No,Yes,1,3.6
945,300,No,Yes,1,3.5
946,900,Yes,No,2,3.8
947,400,No,No,1,3.5
948,400,No,No,1,3.6
949,650,No,No,2,3.7
950,400,No,No,1,3.6
951,350,No,No,1,3.5
952,250,No,No,1,3.6
953,150,No,No,1,3.5
954,400,No,No,1,3.6
955,750,No,Yes,2,3.8
956,400,No,No,1,3.5
957,400,No,No,1,3.6
958,150,No,No,1,3.8
959,500,No,No,2,3.5
960,650,No,Yes,2,4.1
961,400,No,No,1,2.9
962,300,No,Yes,1,2.9
963,400,No,No,1,2.5
964,400,No,No,1,3.1
965,500,No,No,2,3.0
966,250,No,No,1,3.4
967,800,Yes,No,2,3.3
968,300,No,No,1,3.1
969,400,No,No,1,3.1
978,400,No,No,1,2.8
979,700,No,No,2,2.7
980,600,No,Yes,2,2.7
981,500,No,No,2,2.7
982,300,No,No,1,2.8
983,400,No,No,1,2.7
984,100,No,No,1,3.2
985,500,No,No,2,3.4
986,700,No,Yes,2,3.3
988,200,No,No,1,3.0
989,700,No,Yes,2,3.3
990,200,No,No,1,2.8
991,100,No,No,1,3.1
992,350,No,No,1,2.8
993,200,No,No,1,3.0
1004,650,No,Yes,2,2.6
1005,200,No,No,1,2.9
1008,100,No,No,1,3.1
1011,700,No,Yes,2,3.1
1012,350,No,No,1,3.1
1013,350,No,No,1,2.9
1020,400,No,Yes,1,2.7
1021,800,No,No,2,2.7
1026,500,No,No,2,3.0
1027,500,Yes,No,2,3.3
1028,150,No,No,1,3.1
1029,100,No,No,1,3.1
1030,600,No,No,2,2.8
1031,1000,Yes,No,3,2.7
1032,400,No,No,1,3.1
